epoch,loss,lr,mae,val_loss,val_mae
0,0.09938844153657556,1e-06,0.2095801,0.10086584439501166,0.2116444
1,0.09912458030506968,1e-06,0.20936315,0.10059421787038446,0.2109124
2,0.09913595559075475,1e-06,0.20939833,0.10102503133937717,0.21140458
3,0.09900957267731428,1e-06,0.2092852,0.1005751364864409,0.2108654
4,0.09903978697955608,1e-06,0.20932235,0.10139226200059057,0.21197689
5,0.09912101063877345,1e-06,0.20945586,0.10045644296333194,0.21125
6,0.09881608448922634,1e-06,0.20921417,0.10084428319707513,0.21152128
7,0.09884999930858612,1e-06,0.20925534,0.10038124155253172,0.21103376
8,0.09884772382676602,1e-06,0.209196,0.10009703081101179,0.2107964
9,0.09872818237170577,1e-06,0.2090958,0.10018063109368086,0.21056078
10,0.09864554654806852,1e-06,0.2089899,0.1001068032719195,0.21066873
11,0.09873854514211416,1e-06,0.20917787,0.09991408467292785,0.21055773
12,0.09858458369970322,1e-06,0.20892105,0.10035849645733834,0.21116832
13,0.09855514051392675,1e-06,0.20894551,0.10018408566713333,0.21069454
14,0.09851444279775023,1e-06,0.20888695,0.10116770479828119,0.21194018
15,0.09856682827696205,1e-06,0.20900287,0.09999911671504379,0.2104046
16,0.09866764090955257,1e-06,0.20911916,0.09993363762274385,0.2104605
17,0.09810898287221789,1e-07,0.20837441,0.09974725093692541,0.21037279
18,0.09809860935434699,1e-07,0.20839232,0.09972959749400616,0.21036895
19,0.09807314135134221,1e-07,0.20842077,0.09972565162926912,0.21031103
20,0.09808461090549826,1e-07,0.20834866,0.09971215264871716,0.21032096
21,0.09807005608454347,1e-07,0.20839351,0.09976069903001189,0.21044347
22,0.09807474514469504,1e-07,0.20837125,0.09969702934846282,0.21036851
23,0.09805309046059847,1e-07,0.20836085,0.09969651971012354,0.21036306
24,0.09806321522220969,1e-07,0.20840493,0.09971501993015408,0.21029088
25,0.09804821426048875,1e-07,0.2083081,0.0997230921126902,0.2104951
26,0.0980542030185461,1e-07,0.20838635,0.09970124552026391,0.21037015
27,0.09804425235837698,1e-07,0.2083628,0.09968973111361265,0.2102045
28,0.09804861502721905,1e-07,0.208379,0.0997198112308979,0.21025534
29,0.09804248040542006,1e-07,0.20834514,0.09971567092463374,0.21027012
30,0.0980420739762485,1e-07,0.20832185,0.09967299928888679,0.21040627
31,0.09803653324022889,1e-07,0.20840946,0.09968436604365706,0.21027271
32,0.09805067418143153,1e-07,0.208356,0.09968174355104566,0.21032305
33,0.09802790969610214,1e-07,0.20833546,0.0996859447658062,0.21042834
34,0.09801492074504495,1e-07,0.20837331,0.09965975608676672,0.21027927
35,0.09803714852780104,1e-07,0.20835733,0.0996673217229545,0.21033895
36,0.09802027380093932,1e-07,0.20833984,0.09975437179207802,0.21035688
37,0.09803043695166708,1e-07,0.20836109,0.09977722143754363,0.21045911
38,0.09802073141559958,1e-07,0.20836137,0.09963719682767987,0.21014987
39,0.09800742788240313,1e-07,0.20828201,0.09965137783437968,0.21027893
40,0.09800883069634438,1e-07,0.20832618,0.09964038101956248,0.21043634
41,0.09800574637949466,1e-07,0.2083386,0.09966177456080913,0.21022466
42,0.09799252267926932,1e-07,0.20834514,0.09964675022289157,0.21034577
43,0.09801552377641201,1e-07,0.2083505,0.09966144680976868,0.21031292
44,0.09796517532318831,1e-08,0.20828548,0.09962601153180003,0.21024908
45,0.09794960267841817,1e-08,0.20826921,0.09962521765381098,0.21024516
46,0.09795058051124216,1e-08,0.2082703,0.0996238661929965,0.21024846
47,0.09795060377568006,1e-08,0.20825766,0.09962524078786374,0.21024808
48,0.09795069500803948,1e-08,0.20826313,0.09962198985740542,0.2102447
49,0.097948701903224,1e-08,0.20825994,0.0996250625886023,0.21025373
50,0.09794794065877795,1e-08,0.2082679,0.09962639082223176,0.21026614
51,0.09794752838090062,1e-08,0.20826799,0.0996233861334622,0.21025515
52,0.0979481427744031,1e-08,0.20825933,0.09962225332856178,0.21025367
53,0.09794653017073869,1e-08,0.20827387,0.0996246968396008,0.21026051
54,0.09794241871684789,1e-09,0.20826419,0.09962467024102807,0.21026035
55,0.09794247521087528,1e-09,0.20826423,0.09962464209645987,0.21026047
56,0.09794240459799766,1e-09,0.20826411,0.09962461080402135,0.21026042
57,0.09794242572039366,1e-09,0.20826398,0.09962452912703157,0.21026014
58,0.09794243922457099,1e-09,0.2082638,0.09962441809475422,0.21026002
59,0.0979423001408577,9.9999994e-11,0.20826375,0.09962442243471742,0.21026002
60,0.09794230105355382,9.9999994e-11,0.20826375,0.09962442327290773,0.21026
61,0.09794230282306671,9.9999994e-11,0.20826371,0.09962441850453616,0.21026002
62,0.09794229811057448,9.9999994e-11,0.20826365,0.09962441498413682,0.21026
63,0.09794229971244932,9.9999994e-11,0.20826374,0.09962441815063357,0.21026
